Id,OrgNr,OrgName,ApiSpecUrl,ApiDocUrl,NationalComponent,DatasetRefs,ServiceType
2,971035854,Universitetet i Oslo,https://docker-demo.fsat.no/fsapi/swagger.json,https://docker-demo.fsat.no/fsapi/swagger.html#!/person/get_personer_id,,,
3,971032146,KS,https://ks-no.github.io/api/innsyn-sok-api-v1.json,https://editor.swagger.io/?url=https://ks-no.github.io/api/innsyn-sok-api-v1.json,,,
4,970018131,Utdanningsdirektoratet,https://data-nor.udir.no/swagger/docs/v1.0,https://data.norge.no/data/utdanningsdirektoratet/nasjonalt-register-opplæringskontorer-nor,,,
5,970018131,Utdanningsdirektoratet,https://data-nbr.udir.no/swagger/docs/v1.0,https://data.norge.no/data/utdanningsdirektoratet/nasjonalt-barnehageregister-nbr,,,
6,970018131,Utdanningsdirektoratet,https://data-nsr.udir.no/swagger/docs/v1.0,https://data.norge.no/data/utdanningsdirektoratet/nasjonalt-skoleregister-nsr-0,,,
7,970018131,Utdanningsdirektoratet,https://data-nxr-fellestjeneste.udir.no/swagger/docs/v1,https://data.norge.no/data/utdanningsdirektoratet/nxr-fellestjeneste-0,,,
8,970018131,Utdanningsdirektoratet,http://www.barnehagefakta.no:80/swagger/docs/v1,https://data.norge.no/data/utdanningsdirektoratet/barnehagefakta-baf,,,
9,944521836,SPAREBANK 1 BV,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_944521836_Accounts-API.json,,,,Kontoopplysninger
10,937888104,SPAREBANK 1 GUDBRANDSDAL,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937888104_Accounts-API.json,,,,Kontoopplysninger
11,937889631,SPAREBANK 1 HALLINGDAL OG VALDRES,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937889631_Accounts-API.json,,,,Kontoopplysninger
12,937888015,SPAREBANK 1 LOM OG SKJÅK,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937888015_Accounts-API.json,,,,Kontoopplysninger
13,937889186,SPAREBANK 1 MODUM,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937889186_Accounts-API.json,,,,Kontoopplysninger
14,952706365,SPAREBANK 1 NORD-NORGE,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_952706365_Accounts-API.json,,,,Kontoopplysninger
15,937899408,SPAREBANK 1 NORDVEST,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937899408_Accounts-API.json,,,,Kontoopplysninger
16,937889275,SPAREBANK 1 RINGERIKE HADELAND,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937889275_Accounts-API.json,,,,Kontoopplysninger
17,937901003,SPAREBANK 1 SMN,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937901003_Accounts-API.json,,,,Kontoopplysninger
18,937895321,SPAREBANK 1 SR-BANK ASA,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937895321_Accounts-API.json,,,,Kontoopplysninger
19,937899785,SPAREBANK 1 SØRE SUNNMØRE,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937899785_Accounts-API.json,,,,Kontoopplysninger
20,937891334,SPAREBANK 1 TELEMARK,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_937891334_Accounts-API.json,,,,Kontoopplysninger
21,837884942,SPAREBANK 1 ØSTFOLD AKERSHUS,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_837884942_Accounts-API.json,,,,Kontoopplysninger
22,920426530,SPAREBANK 1 ØSTLANDET,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/Sparebank1_920426530_Accounts-API.json,,,,Kontoopplysninger
23,984851006,DNB,https://raw.githubusercontent.com/Informasjonsforvaltning/dsop-api-spesifikasjoner/master/specs/DNB_984851006_Accounts-API.json,,,,Kontoopplysninger
